team_id,team_name,team_label
323,New Zealand Women,NZW
324,Multan Sultans,MS
325,Sydney Sixers,SS
326,Africa XI,AX
327,Wiltshire,W
328,KwaZulu-Natal,K
329,Dhaka Division,DD
330,St Kitts and Nevis Patriots,SKaNP
331,Northerns Under-15s,NU
332,Rangpur Division,RD
333,Islamabad Leopards,IL
334,Barisal Division,BD
335,Rio Sports Club,RSC
336,United States of America,USoA
337,Gloucestershire 2nd XI,G2X
338,Herefordshire,H
339,St Lucia Zouks,SLZ
340,Puducherry,P
341,Jamaica Tallawahs,JT
342,Border Under-15s,BU
343,Peshawar Panthers,PP
344,Huntingdonshire,H
345,Maris Stella College,MSC
346,New Zealand,NZ
347,Somerset Cricket Board,SCB
348,Cheshire,C
349,Boland Under-15s,BU
350,Deccan Chargers,DC
351,North West Under-19s,NWU
352,Kurunegala Youth Cricket Club,KYCC
353,Leeds/Bradford MCCU,LM
354,West Indies B,WIB
355,Jamaica,J
356,FOG-Seenigama Ladies,FL
357,Surrey Under-15s,SU
358,Khulna Division,KD
359,British Universities,BU
360,Ireland,I
361,Tamil Union Cricket and Athletic Club,TUCaAC
362,Auckland,A
363,Zimbabwe Under-19s,ZU
364,Victoria Country,VC
365,Rajshahi Division,RD
366,Suffolk,S
367,Ragama Cricket Club,RCC
368,Dhaka Metropolis,DM
369,DS Senanayake College,DSC
370,Rising Pune Supergiants,RPS
371,South Australia Under-23s,SAU
372,Malaysia,M
373,Durham 2nd XI,D2X
374,Leeward Islands,LI
375,Lahore Qalandars,LQ
376,Islamabad Cricket Association,ICA
377,St. Thomas College,STC
378,Guyana Under-19s,GU
379,North West,NW
380,Mis Ainak Region,MAR
381,Pakistan National Shipping Corporation,PNSC
382,Kalutara Town Club,KTC
383,Free State Under-19s,FSU
384,Jammu & Kashmir,J&K
385,Essex Under-15s,EU
386,Natal,N
387,Sri Lanka Under-15s,SLU
388,Australian Country XI,ACX
389,Canada Women,CW
390,Uttar Pradesh Under-16s,UPU
391,Karachi Blues,KB
392,Punjab Under-19s,PU
393,Western Australia Women,WAW
394,Delhi,D
395,Northamptonshire,N
396,Manicaland,M
397,Victoria Women,VW
398,Norfolk,N
399,Karachi Whites,KW
400,KwaZulu-Natal Under-19s,KU
401,Kent 2nd XI,K2X
402,Zimbabwe Under-13s,ZU
403,India Under-19s,IU
404,Middlesex Cricket Board,MCB
405,Pakistan Television,PT
406,Scotland Under-15s,SU
407,South Africa Academy,SAA
408,Yorkshire Women,YW
409,Kerala,K
410,Badulla & Monaragala Combine Schools,B&MCS
411,Pakistan Automobiles Corporation,PAC
412,Australia Women,AW
413,Andhra Under-19s,AU
414,KwaZulu-Natal Under-17s,KU
415,Railways,R
416,Oxford MCCU,OM
417,Surrey Cricket Board,SCB
418,Midlands,M
419,Lahore Ravi,LR
420,Mashonaland,M
421,Otago,O
422,Sri Lanka,SL
423,Tasmania Under-19s,TU
424,North West Under-15s,NWU
425,Sri Lanka Navy Sports Club,SLNSC
426,KwaZulu-Natal Inland Under-13s,KIU
427,Mumbai,M
428,Victoria Under-23s,VU
429,Multan,M
430,Karnataka,K
431,Northamptonshire Cricket Board,NCB
432,Cape Cobras,CC
433,India A,IA
434,Kent,K
435,Colts Cricket Club Women,CCCW
436,Moratuwa Sports Club,MSC
437,Southern Ladies Cricket Club,SLCC
438,Ireland Women,IW
439,Ireland Under-15s,IU
440,Rhodesia,R
